<doc id="edoc_wd_1768-12-10" attrs="word" year="1768" month="12" day="10" corpus="1">
<head id="hl1">
Londen	w36
den	w37
25	w38
<g/>
.
Winterm	w40
<g/>
.
</head>
<p id="p4">
Der	w42
König	w43
hat	w44
den	w45
Lord	w46
Carl	w47
Spen=cer	w48
<g/>
=
<g/>
,
einen	w51
Bruder	w52
des	w53
Herzogs	w54
von	w55
Marlborougg	w56
<g/>
,
zum	w58
Obriststallmei=ster	w59
<g/>
=
der	w61
Königin	w62
<g/>
,
an	w64
die	w65
Stelle	w66
des	w67
Grafen	w68
von	w69
Delawar	w70
<g/>
,
ernannt	w72
<g/>
,
welcher	w74
letztere	w75
von	w76
Sr	w77
<g/>
.
Majestät	w79
zum	w80
Obristkämmerer	w81
<g/>
,
an	w83
die	w84
Stelle	w85
mit	w86
dem	w87
Botschafterskarakter	w88
an	w89
dem	w90
königl	w91
<g/>
.
französischen	w93
Hof	w94
bekleideten	w95
Grafen	w96
von	w97
Harcourt	w98
<g/>
,
erkläret	w100
worden	w101
<g/>
.
</p>
<p id="p5">
Dasjenige	w103
<g/>
,
was	w105
vom	w106
18	w107
<g/>
.
bis	w109
auf	w110
gestern	w111
in	w112
den	w113
Parlamentssitzungen	w114
verhandelt	w115
worworden	w116
<g/>
=
</p>
<p id="p6">
den	w118
<g/>
,
ist	w120
für	w121
Auswärtige	w122
nicht	w123
von	w124
besonde=rer	w125
<g/>
=
Erheblichkeit	w127
<g/>
.
Die	w129
von	w130
dem	w131
Unterhau=se	w132
<g/>
=
zu	w134
dem	w135
Seedienste	w136
für	w137
künftiges	w138
Jahr	w139
be=willigten	w140
<g/>
=
Subsidien	w142
betragen	w143
832	w144
<g/>
.
tausend	w146
Pf	w147
<g/>
.
Sterl	w149
<g/>
.
zum	w151
Unterhalt	w152
von	w153
16000	w154
<g/>
.
Ma=trosen	w156
<g/>
=
<g/>
,
und	w159
zur	w160
Hebung	w161
der	w162
Subsidien	w163
hat	w164
am	w165
23	w166
<g/>
.
der	w168
Ausschuß	w169
der	w170
Gemeinen	w171
die	w172
Fortsetzung	w173
der	w174
Abgaben	w175
auf	w176
dem	w177
Malz	w178
<g/>
,
Rum	w180
<g/>
,
Aepfel	w182
<g/>
=
und	w184
Biernwein	w185
beschlossen	w186
<g/>
.
An	w188
eben	w189
dem	w190
Tage	w191
wurden	w192
alle	w193
Schriften	w194
<g/>
,
betreffend	w196
das	w197
Proceßwesen	w198
des	w199
königl	w200
<g/>
.
Bank=gerichts	w202
<g/>
=
wider	w204
Herrn	w205
Wilkes	w206
<g/>
,
der	w208
Kammer	w209
vorgelegt	w210
<g/>
,
welche	w212
die	w213
Untersuchung	w214
derselben	w215
bis	w216
auf	w217
den	w218
2ten	w219
Christm	w220
<g/>
.
verlegt	w222
<g/>
,
an	w224
welwelchem	w225
<g/>
=
</p>
<p id="p7">
chem	w228
Tage	w229
Herr	w230
Wilkes	w231
gehöret	w232
werden	w233
soll=te	w234
<g/>
=
<g/>
.
Man	w237
vermuthet	w238
zum	w239
voraus	w240
<g/>
,
daß	w242
ihm	w243
in	w244
Ansehung	w245
der	w246
Art	w247
von	w248
Straffe	w249
<g/>
,
in	w251
welche	w252
er	w253
verfallen	w254
<g/>
,
der	w256
Sitz	w257
im	w258
Parlamente	w259
werde	w260
versaget	w261
werden	w262
<g/>
.
Auch	w264
beobachtet	w265
man	w266
<g/>
,
daß	w268
der	w269
Pöbel	w270
ihm	w271
nicht	w272
mehr	w273
so	w274
stark	w275
anhängt	w276
<g/>
,
und	w278
seine	w279
Gönner	w280
<g/>
,
die	w282
zu	w283
seinen	w284
Bedürfnis=sen	w285
<g/>
=
beyzutragen	w287
müde	w288
werden	w289
<g/>
,
beginnen	w291
<g/>
,
ihn	w293
im	w294
Stich	w295
zu	w296
lassen	w297
<g/>
,
so	w299
<g/>
,
daß	w301
ihm	w302
wahr=scheinlicher	w303
<g/>
=
Weise	w305
kein	w306
ander	w307
Rettungsmit=tel	w308
<g/>
=
<g/>
,
als	w311
die	w312
königl	w313
<g/>
.
Gnade	w315
<g/>
,
übrig	w317
bleiben	w318
dörfte	w319
<g/>
.
Uebrigens	w321
kam	w322
noch	w323
in	w324
eben	w325
der	w326
Si=tzung	w327
<g/>
=
zum	w329
Vortrag	w330
<g/>
,
man	w332
möchte	w333
den	w334
König	w335
bitten	w336
