<doc id="edoc_wd_1759-09-26" attrs="word" year="1759" month="09" day="26" corpus="1">
<head id="hl1">
Coblenz	w40
15	w41
<g/>
.
Sept	w43
<g/>
.
</head>
<p id="p4">
DJe	w45
Französische	w46
Armee	w47
stehet	w48
noch	w49
in	w50
dem	w51
Lager	w52
bey	w53
Anarot	w54
und	w55
Du=denhofen	w56
<g/>
=
<g/>
,
und	w59
aus	w60
dem	w61
Verhack	w62
<g/>
,
welcher	w64
allda	w65
gemacht	w66
wird	w67
<g/>
,
schliest	w69
man	w70
<g/>
,
daß	w72
sie	w73
gesonnen	w74
sey	w75
<g/>
,
allda	w77
einige	w78
Zeitlang	w79
zu	w80
verbleiben	w81
<g/>
.
Den	w83
9	w84
<g/>
.
wurde	w86
auf	w87
5	w88
<g/>
.
Ta=ge	w90
<g/>
=
sonragirt	w92
<g/>
,
und	w94
den	w95
11	w96
<g/>
.
und	w98
12	w99
<g/>
.
sind	w101
die	w102
Chur	w103
<g/>
=
sächsische	w105
Trupen	w106
aufgebrochen	w107
<g/>
,
um	w109
den	w110
Marsch	w111
nach	w112
Sachsen	w113
anzutretten	w114
<g/>
.
Einige	w116
Bataillons	w117
der	w118
Haupt	w119
<g/>
=
armee	w121
ver=änderten	w122
<g/>
=
hierauf	w124
ihre	w125
bisherige	w126
Stellung	w127
<g/>
,
und	w129
bezogen	w130
unweit	w131
Linnen	w132
bey	w133
Giessen	w134
ein	w135
Lager	w136
<g/>
.
Zwischen	w138
denen	w139
beyderseitigen	w140
leich=ten	w141
<g/>
=
Trupen	w143
fallen	w144
täglich	w145
Scharmützel	w146
vor	w147
<g/>
,
allein	w149
sie	w150
sind	w151
von	w152
keiner	w153
Erheblichkeit	w154
<g/>
.
Seit	w156
dem	w157
10	w158
<g/>
.
Abends	w160
hat	w161
man	w162
bey	w163
Marburg	w164
nicht	w165
mehr	w166
canoniren	w167
gehört	w168
<g/>
.
Man	w170
hat	w171
zwar	w172
keine	w173
Nachricht	w174
<g/>
,
daß	w176
der	w177
Herr	w178
Dupleßis	w179
welcher	w180
das	w181
Schloß	w182
mit	w183
1000	w184
<g/>
.
Mann	w186
ver=theidiget	w187
<g/>
=
<g/>
,
sich	w190
ergeben	w191
habe	w192
<g/>
,
allein	w194
da	w195
man	w196
</p>
<p id="p5">
vermutet	w197
<g/>
,
daß	w199
er	w200
sich	w201
in	w202
die	w203
Länge	w204
nicht	w205
werde	w206
halten	w207
können	w208
<g/>
,
so	w210
glaubt	w211
man	w212
<g/>
,
daß	w214
es	w215
vielleicht	w216
zur	w217
Capitulation	w218
gekommen	w219
<g/>
.
Der	w221
Erb	w222
<g/>
=
prinz	w224
von	w225
Braunschweig	w226
formirt	w227
von	w228
Seiten	w229
deren	w230
Alliirten	w231
die	w232
Belagerung	w233
<g/>
.
Er	w235
wagte	w236
es	w237
mit	w238
dem	w239
Degen	w240
in	w241
der	w242
Faust	w243
den	w244
Platz	w245
zu	w246
erobern	w247
<g/>
,
allein	w249
die	w250
Belagerte	w251
schlugen	w252
den	w253
Sturm	w254
ab	w255
<g/>
,
und	w257
die	w258
Alliirte	w259
litten	w260
hiebey	w261
nicht	w262
wenig	w263
<g/>
.
Den	w265
9	w266
<g/>
.
Abends	w268
erhielt	w269
der	w270
Herr	w271
Marschall	w272
von	w273
Contades	w274
Nachricht	w275
<g/>
,
daß	w277
einige	w278
1000	w279
<g/>
.
Hanovera=ner	w281
<g/>
=
das	w283
alte	w284
Französische	w285
Lager	w286
bey	w287
Minz=lar	w288
<g/>
=
bezogen	w290
hätten	w291
<g/>
,
um	w293
von	w294
da	w295
aus	w296
die	w297
Armee	w298
zu	w299
beunruhigen	w300
<g/>
;
50	w302
<g/>
.
Grenadier=compagnien	w304
<g/>
=
<g/>
,
die	w307
Brigade	w308
Picardie	w309
und	w310
ei=nige	w311
<g/>
=
leichte	w313
Trupen	w314
bekamen	w315
dahero	w316
Ordre	w317
<g/>
,
Morgens	w319
um	w320
2	w321
<g/>
.
Uhr	w323
unter	w324
dem	w325
Duc	w326
de	w327
Havre	w328
dahin	w329
zu	w330
marschiren	w331
<g/>
.
Bey	w333
denen	w334
ersten	w335
Canonen	w336
<g/>
=
schüssen	w338
retirirten	w339
sich	w340
die	w341
Feinde	w342
aufs	w343
geschwindeste	w344
<g/>
,
folglich	w346
rückte	w347
</p>
<p id="p6">
das	w349
besagte	w350
Detaschement	w351
den	w352
10	w353
Nach=mittags	w354
<g/>
=
wieder	w356
ins	w357
Lager	w358
ein	w359
<g/>
.
</p>
<p id="p7">
Die	w361
alliirte	w362
Armee	w363
<g/>
,
welche	w365
in	w366
der	w367
Ge=gend	w368
<g/>
=
von	w370
Marburg	w371
gestanden	w372
<g/>
,
ist	w374
wie	w375
un=term	w376
<g/>
=
12	w378
<g/>
.
dieses	w380
gemeldet	w381
wird	w382
<g/>
,
von	w384
da	w385
auf=gebrochen	w386
<g/>
=
<g/>
,
und	w389
stehet	w390
dermalen	w391
in	w392
der	w393
Ge=gend	w394
<g/>
=
von	w396
Ober	w397
<g/>
=
und	w399
Nieder	w400
<g/>
=
Weimar	w402
<g/>
.
Man	w404
weiß	w405
zwar	w406
nicht	w407
<g/>
,
wohin	w409
sie	w410
ihren	w411
Marsch	w412
weiter	w413
richten	w414
werde	w415
<g/>
,
alleine	w417
man	w418
vermu=tet	w419
<g/>
=
<g/>
,
daß	w422
es	w423
bey	w424
fernerer	w425
Annäherung	w426
leicht=lich	w427
<g/>
=
zu	w429
einen	w430
abermaligen	w431
Treffen	w432
kommen	w433
dörfte	w434
<g/>
.
Zu	w436
Giessen	w437
macht	w438
die	w439
Französische	w440
Besatzung	w441
alle	w442
Anstalten	w443
zur	w444
Gegenwehr	w445
<g/>
,
weil	w447
die	w448
leichte	w449
Trupen	w450
deren	w451
Alliirten	w452
die=sem	w453
<g/>
=
Ort	w455
täglich	w456
näher	w457
kommen	w458
<g/>
.
</p>
<p id="p8">
Den	w460
13	w461
<g/>
.
dieses	w463
früh	w464
nach	w465
6	w466
<g/>
.
Uhr	w468
wag=ten	w469
<g/>
=
es	w471
5	w472
<g/>
.
Hanövrische	w474
Hussaren	w475
in	w476
Wetzlar	w477
einzudringen	w478
<g/>
.
Sie	w480
kamen	w481
bis	w482
auf	w483
den	w484
Markt	w485
<g/>
,
verübten	w487
aber	w488
keine	w489
andere	w490
Ex=cesse	w491
<g/>
=
<g/>
,
als	w494
daß	w495
sie	w496
einen	w497
Marquetender	w498
und	w499
Officiers	w500
<g/>
=
bedienten	w502
plünderten	w503
<g/>
.
Nachmit=tags	w505
<g/>
=
wurde	w507
ihnen	w508
eine	w509
starke	w510
Parthie	w511
Fran=zösischer	w512
<g/>
=
Hussaren	w514
und	w515
Dragoner	w516
nachge=schickt	w517
<g/>
=
<g/>
,
welche	w520
besagte	w521
Hussaren	w522
und	w523
Jäger	w524
einholten	w525
<g/>
,
so	w527
<g/>
,
daß	w529
auch	w530
der	w531
Marquetender	w532
und	w533
Officiers	w534
<g/>
=
bediente	w536
das	w537
Jhrige	w538
wieder	w539
erhielten	w540
<g/>
.
Der	w542
Herr	w543
Marquis	w544
von	w545
Ar=mentieres	w546
<g/>
=
welcher	w548
nach	w549
dem	w550
Entsatz	w551
von	w552
Münster	w553
und	w554
Ansichziehung	w555
aller	w556
Besatzun=gen	w557
<g/>
=
ein	w559
starkes	w560
Corps	w561
commandirt	w562
<g/>
,
ist	w564
nach	w565
Briefen	w566
vom	w567
8	w568
<g/>
.
dieses	w570
im	w571
Begrif	w572
gegen	w573
Lipp=stadt	w574
<g/>
=
zu	w576
marschieren	w577
<g/>
,
und	w579
diesen	w580
Ort	w581
zu	w582
belagern	w583
<g/>
.
Eben	w585
diese	w586
Berichte	w587
melden	w588
<g/>
,
daß	w590
der	w591
General	w592
von	w593
Jmhof	w594
bey	w595
Münster	w596
an	w597
Todten	w598
allein	w599
gegen	w600
1500	w601
<g/>
.
Mann	w603
einge=büsset	w604
<g/>
=
habe	w606
<g/>
.
</p>
<head id="hl2">
Cöln	w608
11	w609
<g/>
.
Sept	w611
<g/>
.
</head>
<p id="p9">
Zufolge	w613
Nachrichten	w614
aus	w615
Hanover	w616
vom	w617
7	w618
<g/>
.
dieses	w620
<g/>
,
hat	w622
sich	w623
unlängst	w624
in	w625
der	w626
Gegend	w627
von	w628
Göttingen	w629
<g/>
,
und	w631
zwar	w632
in	w633
denen	w634
Dör=fern	w635
<g/>
=
Rudolphshausen	w637
<g/>
,
Angerstein	w639
und	w640
Nie=dergändern	w641
<g/>
=
ein	w643
Detaschement	w644
von	w645
ungefähr	w646
50	w647
<g/>
.
Croaten	w649
und	w650
Reichs	w651
<g/>
=
trupen	w653
eingefuneingefunden	w654
<g/>
=
</p>
<p id="p10">
den	w656
<g/>
;
der	w658
Haupt	w659
<g/>
=
mann	w661
von	w662
Scheiter	w663
<g/>
,
welcher	w665
unlängst	w666
mit	w667
seinem	w668
Corpo	w669
zu	w670
Oste=rode	w671
<g/>
=
angelangt	w673
<g/>
,
hat	w675
sich	w676
dahero	w677
eiligst	w678
auf	w679
den	w680
Marsch	w681
begeben	w682
<g/>
,
um	w684
sie	w685
einzuholen	w686
<g/>
.
</p>
<head id="hl3">
Hamburg	w688
8	w689
Sept	w690
<g/>
.
</head>
<p id="p11">
Die	w692
Rußische	w693
Flotte	w694
befindet	w695
sich	w696
noch	w697
auf	w698
der	w699
Danziger	w700
<g/>
=
rhede	w702
<g/>
,
unter	w704
dem	w705
Com=mando	w706
<g/>
=
des	w708
Herrn	w709
Vice	w710
<g/>
=
admirals	w712
von	w713
Po=lenski	w714
<g/>
=
<g/>
.
Nach	w717
Briefen	w718
vom	w719
31	w720
<g/>
.
Aug	w722
<g/>
.
sind	w724
die	w725
debarquirte	w726
Trupen	w727
gegen	w728
30000	w729
Mann	w730
stark	w731
<g/>
,
und	w733
campiren	w734
bey	w735
dem	w736
Kloster	w737
Oli=va	w738
<g/>
=
<g/>
.
Wie	w741
man	w742
vernihmt	w743
<g/>
,
sollen	w745
sie	w746
den	w747
1	w748
<g/>
.
dieses	w750
aufbrechen	w751
<g/>
,
und	w753
der	w754
Danziger=werder	w755
<g/>
=
<g/>
,
nebst	w758
dem	w759
Hogischen	w760
Gebiete	w761
hier=zu	w762
<g/>
=
über	w764
1000	w765
<g/>
.
Pferde	w767
Vorspann	w768
hergeben	w769
<g/>
.
Sie	w771
nehmen	w772
den	w773
Marsch	w774
über	w775
Dirschau	w776
nach	w777
Marienwerder	w778
<g/>
,
um	w780
die	w781
allda	w782
ligen=de	w783
<g/>
=
Trupen	w785
abzulösen	w786
<g/>
,
als	w788
welche	w789
über	w790
Thorn	w791
zur	w792
Armee	w793
gehen	w794
sollen	w795
<g/>
.
</p>
<p id="p12">
Den	w797
5	w798
<g/>
.
dieses	w800
sind	w801
vor	w802
Emden	w803
5	w804
<g/>
.
Eng=ländische	w806
<g/>
=
Transport	w808
<g/>
=
schiffe	w810
unter	w811
Bedeckung	w812
von	w813
2	w814
<g/>
.
Kriegs	w816
<g/>
=
schiffen	w818
angelangt	w819
<g/>
,
welche	w821
eine	w822
Verstärkung	w823
von	w824
Trupen	w825
für	w826
die	w827
Al=liirte	w828
<g/>
=
Armee	w830
am	w831
Bord	w832
haben	w833
<g/>
.
</p>
<head id="hl4">
Aus	w835
dem	w836
Brandenburgischen	w837
14	w838
<g/>
.
September	w840
<g/>
.
</head>
<p id="p13">
Se	w842
<g/>
.
Majestät	w844
der	w845
König	w846
suchen	w847
auf	w848
alle	w849
mögliche	w850
Art	w851
und	w852
Weise	w853
die	w854
Stadt	w855
Berlin	w856
gegen	w857
die	w858
Russen	w859
zu	w860
decken	w861
<g/>
.
Es	w863
scheinet	w864
jedoch	w865
<g/>
,
daß	w867
unsere	w868
gröste	w869
Gefahr	w870
<g/>
,
nicht	w872
von	w873
dieser	w874
Seite	w875
herkommet	w876
<g/>
.
Der	w878
General	w879
Kleist	w880
<g/>
,
und	w882
die	w883
Besatzungen	w884
welche	w885
zu	w886
der	w887
Königl	w888
<g/>
.
Armee	w890
gestossen	w891
<g/>
,
setzen	w893
Se	w894
<g/>
.
Maje=stät	w896
<g/>
=
in	w898
Stande	w899
eine	w900
dritte	w901
Bataille	w902
zu	w903
wa=gen	w904
<g/>
=
<g/>
.
Die	w907
Cavallerie	w908
<g/>
,
welche	w910
die	w911
Armee	w912
des	w913
Generals	w914
Wedel	w915
am	w916
23	w917
<g/>
.
Juli	w919
rettete	w920
<g/>
,
ist	w922
uns	w923
am	w924
12	w925
<g/>
.
Augusti	w927
sehr	w928
nachtheilig	w929
ge=wesen	w930
<g/>
=
<g/>
.
Der	w933
General	w934
Seidlitz	w935
wurde	w936
gleich	w937
im	w938
ersten	w939
Feuer	w940
bleßirt	w941
<g/>
,
und	w943
es	w944
war	w945
unter	w946
denen	w947
ermeldeten	w948
Trupen	w949
kein	w950
gleicher	w951
Eifer	w952
<g/>
.
Die	w954
Oesterreichische	w955
Cavallerie	w956
<g/>
,
die	w958
man	w959
