<doc id="edoc_wd_1780-12-02" attrs="word" year="1780" month="12" day="02" corpus="1">
<p id="p4">
Monarchinn	w23
<g/>
!
Ja	w25
<g/>
,
du	w27
lebst	w28
die	w29
Thränen	w30
sind	w31
vergebens	w32
Der	w33
Tod	w34
verändert	w35
nur	w36
die	w37
Scene	w38
deines	w39
Lebens	w40
<g/>
,
Du	w42
lebst	w43
in	w44
Gegenden	w45
<g/>
,
wohin	w47
die	w48
Tugend	w49
führt	w50
<g/>
,
Wo	w52
reine	w53
Seligkeit	w54
umwandelbar	w55
regiert	w56
<g/>
.
</p>
<p id="p5">
Ur	w58
<g/>
.
</p>
<head id="hl1">
Aus	w60
dem	w61
Lager	w62
bey	w63
St	w64
<g/>
.
Rochus	w66
von	w67
16	w68
<g/>
.
Weinmon	w70
<g/>
.
</head>
<p id="p6">
Den	w72
1	w73
<g/>
.
dieses	w75
Abends	w76
traf	w77
der	w78
Herr	w79
Graf	w80
von	w81
Estaing	w82
in	w83
einem	w84
sechsspännigen	w85
Wa=gen	w86
<g/>
=
<g/>
,
dem	w89
noch	w90
2	w91
an=dere	w92
<g/>
=
dergleichen	w94
folgten	w95
<g/>
,
in	w97
unseren	w98
Ge=neralquartier	w99
<g/>
=
ein	w101
<g/>
.
Den	w103
folgenden	w104
Mor=gen	w105
<g/>
=
verfügte	w107
er	w108
sich	w109
in	w110
Gesellschaft	w111
un=seres	w112
<g/>
=
Generals	w114
<g/>
,
und	w116
anderer	w117
Staabsof=fiziers	w118
<g/>
=
<g/>
,
über	w121
das	w122
Gestade	w123
von	w124
Punta	w125
Mala	w126
an	w127
unsere	w128
Linien	w129
<g/>
,
und	w131
nahm	w132
alle	w133
Batterien	w134
und	w135
Bollwerke	w136
in	w137
Augenschein	w138
<g/>
;
Nachher	w140
besah	w141
er	w142
auch	w143
die	w144
Popen	w145
unse=rer	w146
<g/>
=
Artillerie	w148
und	w149
Jngenieurs	w150
<g/>
,
und	w152
end=lich	w153
<g/>
=
durchzog	w155
er	w156
die	w157
erste	w158
und	w159
zweyte	w160
</p>
<p id="p7">
Linie	w161
unsers	w162
Lagers	w163
<g/>
,
allwo	w165
er	w166
bey	w167
sei=ner	w168
<g/>
=
Eintreffung	w170
an	w171
dem	w172
Bollwerke	w173
von	w174
Punta	w175
Mala	w176
von	w177
der	w178
sämmtlichen	w179
allda	w180
befindlichen	w181
Artillerie	w182
begrüßt	w183
wurde	w184
<g/>
;
er	w186
verfolgte	w187
seinen	w188
Zug	w189
auch	w190
durch	w191
die	w192
Fronte	w193
der	w194
2ten	w195
Linie	w196
<g/>
,
und	w198
wurden	w199
ihm	w200
aller	w201
Orten	w202
die	w203
Ehren	w204
eines	w205
Generalka=pitains	w206
<g/>
=
erwiesen	w208
<g/>
.
Er	w210
hielt	w211
mit	w212
unserm	w213
Generale	w214
lange	w215
Berathschlagungen	w216
<g/>
,
und	w218
wurde	w219
von	w220
demselben	w221
<g/>
,
nebst	w223
allen	w224
Herren	w225
seines	w226
Gefolges	w227
<g/>
,
und	w229
vielen	w230
andern	w231
Offi=zieren	w232
<g/>
=
auf	w234
das	w235
prächtigste	w236
bewirthet	w237
<g/>
.
Den	w239
3ten	w240
darauf	w241
verfügte	w242
sich	w243
erwähnter	w244
Graf	w245
auch	w246
nach	w247
Algeziras	w248
<g/>
,
um	w250
diesen	w251
Posten	w252
zu	w253
besichtigen	w254
<g/>
,
und	w256
dem	w257
Don	w258
Bar=celo	w259
<g/>
=
die	w261
nöthigen	w262
Verhaltungsbefehle	w263
zu	w264
hinterlassen	w265
<g/>
,
von	w267
wannen	w268
er	w269
wieder	w270
nach	w271
Kadix	w272
zurückkehrte	w273
<g/>
.
Dieser	w275
hohe	w276
Offizier	w277
</p>
<p id="p8">
schien	w278
über	w279
die	w280
gemachten	w281
Anstalten	w282
sehr	w283
vergnügt	w284
<g/>
,
besonders	w286
aber	w287
war	w288
er	w289
mit	w290
jener	w291
Schanzarbeit	w292
zufrieden	w293
<g/>
,
die	w295
man	w296
ungefehr	w297
auf	w298
300	w299
Ruthen	w300
von	w301
unserer	w302
Linie	w303
angebracht	w304
hatte	w305
<g/>
,
diese	w307
bestehet	w308
aus	w309
einem	w310
zu	w311
einer	w312
Mörserbatterie	w313
tauglichen	w314
Bollwerke	w315
von	w316
20	w317
Schuhen	w318
in	w319
der	w320
Breite	w321
<g/>
,
und	w323
72	w324
in	w325
der	w326
Länge	w327
<g/>
;
dieses	w329
Werk	w330
wurde	w331
mit	w332
so	w333
vieler	w334
Hurtig	w335
<g/>
=
und	w337
Geschicklichkeit	w338
ausgeführt	w339
<g/>
,
daß	w341
es	w342
mit	w343
anbrechenden	w344
Abend	w345
angefangen	w346
