<doc id="edoc_wd_1772-06-24" attrs="word" year="1772" month="06" day="24" corpus="1">
<head id="hl1">
London	w28
den	w29
5	w30
<g/>
.
Brachmon	w32
<g/>
.
</head>
<p id="p4">
Die	w34
Hrn	w35
<g/>
.
Banks	w37
und	w38
Splinder	w39
haben	w40
ihre	w41
Reise	w42
noch	w43
nicht	w44
angetretten	w45
<g/>
.
Sie	w47
wird	w48
aber	w49
in	w50
einigen	w51
Tagen	w52
gewiß	w53
vor	w54
sich	w55
gehen	w56
<g/>
.
Auch	w58
wird	w59
der	w60
Major	w61
Ro=gers	w62
<g/>
=
nächstens	w64
abreisen	w65
<g/>
,
um	w67
durch	w68
das	w69
feste	w70
Land	w71
von	w72
Nordamerika	w73
nach	w74
Californien	w75
zu	w76
gehen	w77
<g/>
,
um	w79
die	w80
so	w81
lang	w82
gewünschte	w83
Passage	w84
durch	w85
Nordwesten	w86
zu	w87
entdecken	w88
<g/>
.
</p>
<p id="p5">
Das	w90
Parlament	w91
beschäftiget	w92
sich	w93
noch	w94
mit	w95
den	w96
öffentlichen	w97
Angelegenheiten	w98
<g/>
,
wohlfeilere	w100
Zeiten	w101
zu	w102
verschaffen	w103
<g/>
,
und	w105
neue	w106
Gesetze	w107
gegen	w108
die	w109
Ankäufer	w110
und	w111
Monopolisten	w112
der	w113
Lebens=mittel	w114
<g/>
=
zu	w116
machen	w117
<g/>
.
Es	w119
ist	w120
indessen	w121
beschlossen	w122
<g/>
,
daß	w124
die	w125
Parlamentssitzung	w126
den	w127
11	w128
<g/>
.
dieses	w130
zu	w131
Ende	w132
gehen	w133
werde	w134
<g/>
.
</p>
<p id="p6">
Es	w136
ist	w137
merkwürdig	w138
<g/>
,
daß	w140
die	w141
beyden	w142
Par=lamentshäuser	w143
<g/>
=
letzten	w145
Freytag	w146
nicht	w147
<g/>
,
wie	w149
sonst	w150
gewöhnlich	w151
<g/>
,
zur	w153
Kirche	w154
gegangen	w155
sind	w156
<g/>
,
eine	w158
Predig	w159
zu	w160
hören	w161
<g/>
.
Es	w163
war	w164
der	w165
29	w166
<g/>
.
May	w168
<g/>
,
</p>
<p id="p7">
welcher	w170
sonst	w171
jährlich	w172
begangen	w173
wurde	w174
<g/>
,
als	w176
der	w177
Tag	w178
<g/>
,
an	w180
welchem	w181
die	w182
kön	w183
<g/>
.
Würde	w185
wieder	w186
eingeführt	w187
worden	w188
<g/>
,
und	w190
Karl	w191
II	w192
<g/>
.
nach	w194
Crom=wells	w195
<g/>
=
Tode	w197
den	w198
Thron	w199
von	w200
neuem	w201
bestiegen	w202
<g/>
.
An	w204
diesem	w205
Tage	w206
giengen	w207
sonst	w208
allemahl	w209
die	w210
beyden	w211
Häuser	w212
<g/>
,
ein	w214
jedes	w215
zu	w216
einer	w217
besondern	w218
Kirche	w219
<g/>
,
und	w221
hörten	w222
eine	w223
Predig	w224
<g/>
.
Dieses	w226
Jahr	w227
aber	w228
ist	w229
es	w230
nicht	w231
geschehen	w232
<g/>
.
