<doc id="edoc_wd_1772-06-17" attrs="word" year="1772" month="06" day="17" corpus="1">
<head id="hl1">
Venedig	w28
<g/>
,
den	w30
30	w31
<g/>
.
May	w33
<g/>
.
</head>
<p id="p4">
Da	w35
durch	w36
die	w37
vor	w38
kurzem	w39
ausgestandenen	w40
grossen	w41
Ueberschwemmungen	w42
<g/>
,
in	w44
den	w45
verschiedenen	w46
Vertiefungen	w47
der	w48
Erde	w49
vieles	w50
Gewässer	w51
stehen	w52
geblieben	w53
<g/>
,
durch	w55
deren	w56
mit	w57
der	w58
Zeit	w59
gewiß	w60
entstehende	w61
Faulung	w62
den	w63
benachbahrten	w64
Landesbewohnern	w65
sowohl	w66
<g/>
,
als	w68
dem	w69
Viehe	w70
eine	w71
<g/>
,
der	w73
Gesundheit	w74
nachtheilige	w75
Ausdünstung	w76
<g/>
,
sich	w78
ergeben	w79
könnte	w80
<g/>
,
so	w82
hat	w83
ein	w84
hoch	w85
weiser	w86
Rath	w87
den	w88
edlen	w89
Hrn	w90
<g/>
.
Phi=lipp	w92
<g/>
=
Nani	w94
eigends	w95
dazu	w96
bestellet	w97
<g/>
,
das	w99
ganze	w100
Polesinesische	w101
sorgfältig	w102
zu	w103
untersuchen	w104
<g/>
,
und	w106
das	w107
zurückgebliebene	w108
Gewässer	w109
durch	w110
Ablei=tungen	w111
<g/>
=
<g/>
,
und	w114
andere	w115
Mittel	w116
von	w117
Feldern	w118
<g/>
,
und	w120
Strassen	w121
wegzuschaffen	w122
<g/>
.
Diesem	w124
Be=fehl	w125
<g/>
=
zufolge	w127
ist	w128
dieser	w129
Herr	w130
auch	w131
wirklich	w132
von	w133
hier	w134
bereits	w135
abgereiset	w136
<g/>
.
</p>
<p id="p5">
Seit	w138
kurzen	w139
befanden	w140
sich	w141
in	w142
hiesigen	w143
Ha=fen	w144
<g/>
=
2	w146
<g/>
.
Schiffe	w148
in	w149
der	w150
Quarantaine	w151
<g/>
,
deren	w153
eines	w154
mit	w155
Sklavonischer	w156
Mannschaft	w157
<g/>
,
besebesetzet	w159
<g/>
=
</p>
<p id="p6">
tzet	w161
war	w162
<g/>
,
und	w164
von	w165
den	w166
äußersten	w167
Gränzen	w168
des	w169
Venetianischen	w170
Albaniens	w171
hieher	w172
kam	w173
<g/>
,
beyde	w175
Schiffe	w176
aber	w177
verschiedene	w178
Waaren	w179
für	w180
einige	w181
hiesige	w182
Kaufleute	w183
am	w184
Bord	w185
hatten	w186
<g/>
.
Die	w188
Sklavonier	w189
da	w190
sie	w191
ihre	w192
aufhabenden	w193
Waaren	w194
<g/>
,
den	w196
Zoll	w197
<g/>
=
und	w199
Gesundheitsbedien=ten	w200
<g/>
=
angeben	w202
solten	w203
<g/>
,
ließen	w205
sich	w206
beygehen	w207
<g/>
,
eine	w209
große	w210
Menge	w211
Oehls	w212
<g/>
,
das	w214
sie	w215
unter	w216
Weegs	w217
geladen	w218
hatten	w219
<g/>
,
zu	w221
verschweigen	w222
<g/>
,
und	w224
nächtlicher	w225
Weile	w226
auf	w227
das	w228
andere	w229
<g/>
,
von	w231
er=wehnten	w232
<g/>
=
Beamten	w234
bereits	w235
durchsuchte	w236
Schif	w237
zu	w238
überbringen	w239
<g/>
,
durch	w241
welchen	w242
Kunstgrif	w243
sie	w244
bereits	w245
wirklich	w246
diese	w247
öffentl	w248
<g/>
.
Beamten	w250
hin=tergangen	w251
<g/>
=
hatten	w253
<g/>
.
Die	w255
Sänitätscommißion	w256
sowohl	w257
<g/>
,
als	w259
die	w260
Zolleinnehmer	w261
bekamen	w262
den	w263
andern	w264
Tag	w265
Nachricht	w266
von	w267
dieser	w268
Unter=schlagung	w269
<g/>
=
<g/>
,
und	w272
sandten	w273
daher	w274
alsogleich	w275
ei=nige	w276
<g/>
=
Abgeordnete	w278
auf	w279
das	w280
Sklavonische	w281
Schif	w282
<g/>
,
um	w284
die	w285
Waaren	w286
noch	w287
eimal	w288
zu	w289
scon=triren	w290
<g/>
=
<g/>
,
allein	w293
es	w294
fande	w295
sich	w296
kein	w297
Oehl	w298
daselbst	w299
</p>
<p id="p7">
weil	w301
es	w302
<g/>
,
wie	w304
schon	w305
gesagt	w306
<g/>
,
bereits	w308
auf	w309
das	w310
andere	w311
Schif	w312
überbracht	w313
war	w314
<g/>
.
Stolz	w316
<g/>
,
und	w318
gleichsam	w319
triumphirend	w320
über	w321
diesen	w322
gelunge=nen	w323
<g/>
=
Betrug	w325
<g/>
,
empörten	w327
sich	w328
die	w329
Sklavonier	w330
wider	w331
diese	w332
Abgeordneten	w333
<g/>
,
ergriffen	w335
2	w336
<g/>
.
der=selben	w338
<g/>
=
<g/>
,
die	w341
sich	w342
am	w343
eifrigsten	w344
