<doc id="edoc_wd_1772-05-16" attrs="word" year="1772" month="05" day="16" corpus="1">
<head id="hl1">
*Urbania	w28
den	w29
24	w30
<g/>
.
April	w32
<g/>
.
</head>
<p id="p4">
Durch	w34
einen	w35
aus	w36
dem	w37
Jndianischen	w38
Kö=nigreiche	w39
<g/>
=
Tunking	w41
<g/>
,
oder	w43
Tonquin	w44
jen=seits	w45
<g/>
=
des	w47
Ganges	w48
in	w49
Asien	w50
<g/>
,
unterm	w52
30	w53
<g/>
.
Heumonats	w55
1770	w56
<g/>
.
gefertigten	w58
Brief	w59
<g/>
,
hat	w61
man	w62
die	w63
wichtige	w64
Nachricht	w65
von	w66
immer	w67
größerer	w68
Verbreitung	w69
des	w70
katholichen	w71
Glau=bens	w72
<g/>
=
in	w74
dasigem	w75
Königreich	w76
erhalten	w77
<g/>
,
und	w79
solle	w80
dieser	w81
höchsterfreuliche	w82
Umstand	w83
dadurch	w84
ungemein	w85
erleichtert	w86
werden	w87
<g/>
,
daß	w89
einem	w90
Neffen	w91
des	w92
dasigen	w93
Königs	w94
den	w95
18	w96
des	w97
eig=nen	w98
<g/>
=
Monats	w100
durch	w101
den	w102
Jesuiten	w103
P	w104
<g/>
.
Franz	w106
Anton	w107
dasigen	w108
Superior	w109
über	w110
die	w111
Missiona=rien	w112
<g/>
=
<g/>
,
die	w115
H	w116
<g/>
.
Taufe	w118
würklich	w119
gegeben	w120
wor=den	w121
<g/>
=
<g/>
.
Es	w124
erhellet	w125
hieraus	w126
ferner	w127
<g/>
,
daß	w129
der	w130
erste	w131
Mandarin	w132
dieses	w133
Reichs	w134
erwehntem	w135
Geistlichen	w136
<g/>
,
welcher	w138
schon	w139
seit	w140
1765	w141
<g/>
.
um	w143
die	w144
Verbreitung	w145
der	w146
katholischen	w147
Religion	w148
durch	w149
sich	w150
seinem	w151
besondern	w152
Fleiß	w153
<g/>
,
und	w155
Eifer	w156
bereits	w157
höchst	w158
verdient	w159
gemacht	w160
hat	w161
<g/>
,
die	w163
vollkommevollkommene	w164
<g/>
=
</p>
<p id="p5">
ne	w166
<g/>
,
und	w168
freye	w169
Direction	w170
über	w171
die	w172
vielen	w173
da=sigen	w174
<g/>
=
Neubekehrten	w176
ertheilet	w177
<g/>
,
und	w179
befohlen	w180
habe	w181
<g/>
,
daß	w183
dieselben	w184
die	w185
christlichen	w186
Gesetze	w187
öffentlich	w188
bekennen	w189
sollen	w190
<g/>
.
Dieser	w192
eifrige	w193
Missionarius	w194
<g/>
,
welcher	w196
mit	w197
seinen	w198
wenigen	w199
Mitbrüdern	w200
den	w201
grossen	w202
Vortheil	w203
für	w204
die	w205
ka=tholische	w206
<g/>
=
Religion	w208
<g/>
,
so	w210
in	w211
dasigen	w212
Gegenden	w213
gewonnen	w214
werden	w215
könnte	w216
<g/>
,
billiger	w218
massen	w219
beherziget	w220
<g/>
,
bittet	w222
sehr	w223
angelegentlich	w224
<g/>
,
um	w226
Verstärkung	w227
ähnlicher	w228
Seeleneiferer	w229
<g/>
,
und	w231
erbietet	w232
sich	w233
<g/>
,
wenigstens	w235
30	w236
<g/>
.
derselben	w238
auf=zunehmen	w239
<g/>
=
<g/>
,
und	w242
zu	w243
versorgen	w244
<g/>
.
</p>
<p id="p6">
*	w246
Eine	w247
kleine	w248
Stadt	w249
am	w250
Fluße	w251
Metauro	w252
im	w253
Herzogthum	w254
Urbino	w255
<g/>
,
im	w257
Kirchenstaate	w258
<g/>
.
</p>
<head id="hl2">
Petersburg	w260
<g/>
,
den	w262
25	w263
<g/>
.
April	w265
<g/>
.
</head>
<p id="p7">
Jhre	w267
kaiserl	w268
<g/>
.
Majestät	w270
aller	w271
Reußen	w272
haben	w273
geruhet	w274
<g/>
,
um	w276
dem	w277
Herrn	w278
geheimen	w279
Rath	w280
von	w281
Obreskow	w282
<g/>
,
und	w284
dem	w285
Kanzleyrathe	w286
Lewaschow	w287
<g/>
,
</p>
<p id="p8">
ihre	w289
bisher	w290
geleisteten	w291
Dienste	w292
<g/>
,
besonders	w294
aber	w295
die	w296
in	w297
der	w298
türkischen	w299
Gefangenschaft	w300
erlittenen	w301
Drangsalen	w302
zu	w303
vergelten	w304
<g/>
,
beyden	w306
neue	w307
Proben	w308
dero	w309
Dankbarkeit	w310
und	w311
Großmuth	w312
dadurch	w313
zu	w314
bethätigen	w315
<g/>
,
daß	w317
sie	w318
den	w319
erstern	w320
bis	w321
60000	w322
<g/>
.
<g/>
,
und	w325
den	w326
2ten	w327
mit	w328
30000	w329
<g/>
.
Rubeln	w331
beschenket	w332
haben	w333
<g/>
.
Schon	w335
seit	w336
ihrer	w337
Ankunft	w338
zu	w339
Peters=burg	w340
<g/>
=
babenhaben	w342
sie	w343
besondere	w344
Vorzüglichkeiten	w345
<g/>
,
die	w347
mit	w348
Geschenken	w349
begleitet	w350
waren	w351
<g/>
,
genossen	w353
<g/>
,
in=dem	w355
<g/>
=
Herr	w357
v	w358
<g/>
.
Obreskow	w360
den	w361
Alexander	w362
News=ky	w363
<g/>
=
Orden	w365
<g/>
,
mit	w367
10000	w368
<g/>
.
Rubeln	w370
an	w371
baaren	w372
Gel	w373
de	w374
<g/>
,
und	w376
Herr	w377
v	w378
<g/>
.
Lewaschow	w380
ein	w381
Staatsraths=decret	w382
<g/>
=
mit	w384
5000	w385
<g/>
.
erhalten	w387
hat	w388
<g/>
.
</p>
<p id="p9">
Jhre	w390
Majest	w391
<g/>
.
haben	w393
ferner	w394
Dero	w395
Bevoll=mächtigten	w396
<g/>
=
zu	w398
dem	w399
zu	w400
haltenden	w401
Friedenscon=greß	w402
<g/>
=
bereits	w404
ernannt	w405
<g/>
,
nämlich	w407
den	w408
Artillerie=director	w409
<g/>
=
<g/>
,
Herrn	w412
Grafen	w413
Gregor	w414
von	w415
Or=loff	w416
<g/>
=
<g/>
,
und	w419
oberwehnten	w420
Herrn	w421
v	w422
<g/>
.
Obreskow	w424
<g/>
.
Beyde	w426
sind	w427
nun	w428
schon	w429
an	w430
deme	w431
mit	w432
einem	w433
zahl=reichen	w434
<g/>
=
Gefolge	w436
nach	w437
ihrer	w438
neuen	w439
Bestimmung	w440
abzureisen	w441
<g/>
.
</p>
<head id="hl3">
Neapel	w443
den	w444
28	w445
<g/>
.
April	w447
<g/>
.
</head>
<p id="p10">
Da	w449
nun	w450
die	w451
militarischen	w452
Uebungen	w453
bey	w454
dem	w455
schon	w456
öfters	w457
erwehnter	w458
Massen	w459
zu	w460
Ca=serta	w461
<g/>
=
eigends	w463
dazu	w464
erbauten	w465
Festungswerke	w466
<g/>
,
ihr	w468
Ende	w469
erreichet	w470
haben	w471
<g/>
,
so	w473
ist	w474
der	w475
Hof	w476
auch	w477
von	w478
diesem	w479
Lustschlosse	w480
nach	w481
hiesiger	w482
Hauptstadt	w483
bereits	w484
zurückgekehret	w485
<g/>
.
Weil	w487
der	w488
Königinn	w489
Majestät	w490
nunmehr	w491
glücklich	w492
den	w493
9	w494
Monat	w495
ihrer	w496
Schwangerschaft	w497
erreichet	w498
hat	w499
<g/>
,
so	w501
ist	w502
bereits	w503
allen	w504
auswärtigen	w505
Bottschaftern	w506
<g/>
,
und	w508
Ministern	w509
bekannt	w510
gemacht	w511
worden	w512
<g/>
,
daß	w514
sie	w515
sich	w516
bereit	w517
halten	w518
möchten	w519
<g/>
,
bey	w521
den	w522
er=sten	w523
<g/>
=
Entbindungszeichen	w525
der	w526
Königinn	w527
also=bald	w528
<g/>
=
in	w530
dem	w531
königl	w532
<g/>
.
Pallaste	w534
sich	w535
zu	w536
ver=sammeln	w537
<g/>
=
<g/>
.
</p>
<p id="p11">
Der	w540
Hr	w541
<g/>
.
Duca	w543
von	w544
Castropignano	w545
ist	w546
allhier	w547
angelangt	w548
<g/>
,
und	w550
hat	w551
verflossenen	w552
Sonn=tag	w553
<g/>
=
bey	w555
den	w556
königl	w557
<g/>
.
Majestäten	w559
zu	w560
Caserta	w561
seine	w562
Aufwartung	w563
gemacht	w564
<g/>
.
Gegen	w566
das	w567
En=de	w568
<g/>
=
dieser	w570
Woche	w571
wird	w572
die	w573
verwittibte	w574
Frau	w575
Kurfürstinn	w576
von	w577
Sachsen	w578
<g/>
,
aus	w580
Rom	w581
all=hier	w582
<g/>
=
erwartet	w584
<g/>
,
man	w586
hat	w587
bereits	w588
zu	w589
dem	w590
En=de	w591
<g/>
=
über	w593
den	w594
Fluß	w595
Garigliano	w596
eine	w597
hölzerne	w598
Brücke	w599
gebauet	w600
<g/>
,
damit	w602
sie	w603
diesen	w604
Fluß	w605
desto	w606
bequemer	w607
übersetzen	w608
möge	w609
<g/>
.
</p>
<p id="p12">
Der	w611
Marchese	w612
von	w613
Trevico	w614
wird	w615
ihr	w616
na=cher	w617
<g/>
=
Capua	w619
entgegen	w620
reisen	w621
<g/>
,
um	w623
sie	w624
daselbst	w625
</p>
<p id="p13">
im	w626
Namen	w627
beyder	w628
königl	w629
<g/>
.
Majestäten	w631
zu	w632
be=willkommen	w633
<g/>
=
<g/>
.
</p>
<head id="hl4">
Rom	w636
den	w637
29	w638
<g/>
.
April	w640
<g/>
.
</head>
<p id="p14">
Alle	w642
Hrn	w643
<g/>
.
Kardinäle	w645
<g/>
,
so	w647
wie	w648
der	w649
gesamm=te	w650
<g/>
=
hiesige	w652
hohe	w653
Adel	w654
bestreben	w655
sich	w656
um	w657
die	w658
Wette	w659
<g/>
,
ihrer	w661
königl	w662
<g/>
.
Hoheit	w664
der	w665
verwittib=ten	w666
<g/>
=
Frau	w668
Kurfürstinn	w669
von	w670
Sachsen	w671
den	w672
Aufenthalt	w673
in	w674
unserer	w675
Hauptstadt	w676
durch	w677
präch=tige	w678
<g/>
=
Gesellschaften	w680
<g/>
,
herrliche	w682
Musiken	w683
<g/>
,
Thea=tralvorstellungen	w685
<g/>
=
<g/>
,
und	w688
dergleichen	w689
mehr	w690
<g/>
,
nach	w692
möglichen	w693
Kräften	w694
angenehm	w695
zu	w696
machen	w697
<g/>
.
Verflossenen	w699
Montags	w700
Nachmittags	w701
wurde	w702
dieser	w703
hohen	w704
Fürstinn	w705
zu	w706
Ehren	w707
auf	w708
Befehl	w709
Sr	w710
<g/>
.
päbstlichen	w712
Heiligkeit	w713
ein	w714
feyerliches	w715
Pferderennen	w716
angestellt	w717
<g/>
,
und	w719
dabey	w720
6	w721
<g/>
.
Ellen	w723
von	w724
kostbahren	w725
Goldstoff	w726
zum	w727
Preis	w728
ausgesetzet	w729
<g/>
.
Der	w731
gesammte	w732
Adel	w733
war	w734
bey	w735
die=ser	w736
<g/>
=
Gelegenheit	w738
in	w739
prächtigster	w740
Gala	w741
<g/>
,
und	w743
auf	w744
der	w745
Spatzierfahrt	w746
<g/>
,
wobey	w748
man	w749
die	w750
herrlichsten	w751
Kutschen	w752
sah	w753
<g/>
,
erschien	w755
nebst	w756
der	w757
Frau	w758
Kurfür=stinn	w759
<g/>
=
auch	w761
der	w762
Prinz	w763
Stuard	w764
mit	w765
seiner	w766
Ge=mahlinn	w767
<g/>
=
in	w769
öffentl	w770
<g/>
.
Staat	w772
<g/>
.
Diese	w774
hohe	w775
Gastinn	w776
besah	w777
erwehntes	w778
Schauspiel	w779
von	w780
dem	w781
Pallaste	w782
des	w783
Prinzens	w784
Doria	w785
<g/>
,
gegenüber	w787
welchem	w788
von	w789
einem	w790
zahlreichen	w791
Musikchor	w792
beständig	w793
ab=wechselnde	w794
<g/>
=
Symphonien	w796
gespielet	w797
wurden	w798
<g/>
.
Abends	w800
wurde	w801
in	w802
dem	w803
nämlichen	w804
<g/>
,
auf	w806
das	w807
herrlichste	w808
beleichteten	w809
Pallaste	w810
bey	w811
einer	w812
zahlreichen	w813
Anwesenheit	w814
des	w815
Adels	w816
ein	w817
grosses	w818
Concert	w819
aufgeführt	w820
<g/>
.
</p>
<p id="p15">
Gestern	w822
Morgens	w823
ist	w824
eröfterter	w825
Frau	w826
Kurfürstinn	w827
K	w828
<g/>
.
H	w830
<g/>
.
höchst	w832
vergnügt	w833
über	w834
die	w835
allhier	w836
empfangenen	w837
Ehrenbezeugungen	w838
<g/>
,
nachdem	w840
sie	w841
vorher	w842
von	w843
sämmtlichen	w844
Hrn	w845
<g/>
.
Kardinälen	w847
<g/>
,
auswärtigen	w849
Bottschaftern	w850
und	w851
Ministern	w852
<g/>
,
wie	w854
nicht	w855
minder	w856
von	w857
dem	w858
vor=nehmsten	w859
<g/>
=
hiesigen	w861
Adel	w862
<g/>
,
die	w864
Abschiedskompli=mente	w865
<g/>
=
empfangen	w867
<g/>
,
mit	w869
ihrem	w870
ganzen	w871
Gefolge	w872
nacher	w873
Neapel	w874
abgereiset	w875
<g/>
,
und	w877
hat	w878
zu	w879
Velletri	w880
die	w881
erste	w882
Nachtstation	w883
gehalten	w884
<g/>
.
</p>
<p id="p16">
Der	w886
Herr	w887
Kardinal	w888
v	w889
<g/>
.
Yorck	w891
hat	w892
bey	w893
seinem	w894
ersten	w895
Complimentirungsbesuch	w896
<g/>
,
den	w898
er	w899
bey	w900
der	w901
Gemahlinn	w902
seines	w903
Herrn	w904
Bruders	w905
des	w906
Prin=zens	w907
<g/>
=
Stuard	w909
abgelegt	w910
<g/>
,
dieser	w912
seiner	w913
Frau	w914
Schwägerinn	w915
eine	w916
kostbahre	w917
goldene	w918
mit	w919
Bril=lanten	w920
<g/>
=
reich	w922
besetzte	w923
Tabattiere	w924
<g/>
,
und	w926
nebst	w927
dem	w928
eine	w929
Anweisung	w930
auf	w931
4000	w932
<g/>
.
Thaler	w934
jährl	w935
<g/>
.
Ein=künfte	w937
<g/>
=
<g/>
,
als	w940
ein	w941
Brautgeschenke	w942
verehret	w943
<g/>
.
</p>
<head id="hl5">
Genua	w945
<g/>
,
den	w947
29	w948
<g/>
.
April	w950
<g/>
.
</head>
<p id="p17">
Verflossenen	w952
Sonntags	w953
<g/>
,
gegen	w955
3	w956
<g/>
.
Uhr	w958
nach	w959
Mitternacht	w960
hat	w961
man	w962
in	w963
hiesiger	w964
Hauptstadt	w965
ein	w966
leichtes	w967
Erdbeben	w968
verspuret	w969
<g/>
,
welches	w971
aber	w972
<g/>
,
Gott	w974
sey	w975
Dank	w976
<g/>
,
ohne	w978
Schaden	w979
abgeloffen	w980
ist	w981
<g/>
.
Am	w983
letzten	w984
Dienstage	w985
hat	w986
man	w987
durch	w988
ein	w989
aus	w990
