<doc id="edoc_wd_1760-09-17" attrs="word" year="1760" month="09" day="17" corpus="1">
<head id="hl1">
Neu	w40
<g/>
=
york	w42
30	w43
<g/>
.
Junii	w45
<g/>
.
</head>
<p id="p4">
DJe	w47
Franzosen	w48
haben	w49
uns	w50
8	w51
<g/>
.
Officiers	w53
und	w54
112	w55
<g/>
.
Soldaten	w57
zur	w58
Auswechs=lung	w59
<g/>
=
zugeschickt	w61
<g/>
,
die	w63
der	w64
Capitain	w65
Bonneau	w66
überbracht	w67
hat	w68
<g/>
.
Das	w70
Schif	w71
<g/>
,
an	w73
dessen	w74
Bord	w75
sie	w76
eingeschift	w77
gewesen	w78
<g/>
,
ist	w80
durch	w81
unsere	w82
Capers	w83
auf	w84
der	w85
Jnsel	w86
aux	w87
Noix	w88
angehalten	w89
worden	w90
<g/>
,
von	w92
dar	w93
am	w94
19	w95
<g/>
.
des	w97
Monats	w98
die	w99
8	w100
<g/>
.
Officiers	w102
und	w103
48	w104
<g/>
.
Gemeine	w106
durch	w107
unsere	w108
Schiffe	w109
nach	w110
Crown	w111
<g/>
=
point	w113
seynd	w114
geschaffet	w115
worden	w116
<g/>
,
wohin	w118
auch	w119
die	w120
übrige	w121
nach	w122
und	w123
nach	w124
transportiret	w125
werden	w126
<g/>
.
Zwey	w128
von	w129
diesen	w130
Officiers	w131
<g/>
,
nämlich	w133
<g/>
:
der	w135
Leutenant	w136
Goddard	w137
<g/>
,
und	w139
Leutenant	w140
Sherif	w141
<g/>
,
vom	w143
Regiment	w144
Lascelles	w145
sind	w146
alsobald	w147
zum	w148
General	w149
Amherst	w150
abgegangen	w151
<g/>
.
Von	w153
allen	w154
unseren	w155
Kriegs	w156
<g/>
=
gefangenen	w158
befindet	w159
sich	w160
nur	w161
noch	w162
der	w163
einzige	w164
Obriste	w165
Young	w166
vom	w167
Regiment	w168
der	w169
Königl	w170
<g/>
.
Americaner	w172
zu	w173
Mont=real	w174
<g/>
=
<g/>
,
und	w177
dis	w178
aus	w179
der	w180
Ursache	w181
<g/>
,
weilen	w183
wir	w184
keinen	w185
Französischen	w186
Officier	w187
vom	w188
gleichem	w189
</p>
<p id="p5">
Rang	w190
zu	w191
seiner	w192
Auswechslung	w193
haben	w194
<g/>
.
Der	w196
Capitain	w197
Jnee	w198
<g/>
,
vom	w200
Regiment	w201
Otway	w202
<g/>
,
nebst	w204
noch	w205
vier	w206
andern	w207
Officiers	w208
aber	w209
sind	w210
zu	w211
gedachtem	w212
Montreal	w213
an	w214
ihren	w215
Blessuren	w216
gestorben	w217
<g/>
,
die	w219
sie	w220
bey	w221
der	w222
Affaire	w223
vom	w224
28	w225
<g/>
.
April	w227
auf	w228
der	w229
Ebene	w230
Abraham	w231
bey	w232
Quebec	w233
bekommen	w234
hatten	w235
<g/>
.
Diese	w237
Gefangene	w238
rüh=men	w239
<g/>
=
indessen	w241
das	w242
von	w243
denen	w244
Franzosen	w245
er=haltene	w246
<g/>
=
Tractament	w248
sehr	w249
<g/>
.
Ein	w251
jeder	w252
von	w253
denen	w254
Officiers	w255
hat	w256
eine	w257
vollkommene	w258
Klei=dung	w259
<g/>
=
und	w261
3	w262
<g/>
.
Hemder	w264
bekommen	w265
<g/>
.
An	w267
dem	w268
Tag	w269
ihrer	w270
Abreise	w271
von	w272
Montreal	w273
<g/>
,
ist	w275
ein	w276
Officier	w277
von	w278
dem	w279
Französischen	w280
Hof	w281
mit	w282
De=peschen	w283
<g/>
=
für	w285
den	w286
Marquis	w287
von	w288
Vaudrevil	w289
dort	w290
angekommen	w291
<g/>
.
Das	w293
obgedachte	w294
Fran=zösische	w295
<g/>
=
Schif	w297
ist	w298
auf	w299
der	w300
Jnsel	w301
anxaux	w302
Noix	w303
aus	w304
keiner	w305
anderen	w306
Ursache	w307
angehalten	w308
wor=den	w309
<g/>
=
<g/>
,
als	w312
zu	w313
verhindern	w314
<g/>
,
daß	w316
die	w317
Feinde	w318
unsere	w319
Bewegungen	w320
und	w321
Desseins	w322
nicht	w323
mö=gen	w324
<g/>
=
ausspühren	w326
können	w327
<g/>
.
</p>
<head id="hl2">
Londen	w331
7	w332
<g/>
.
Sept	w334
<g/>
.
</head>
<p id="p6">
Nach	w336
Briefen	w337
aus	w338
Süd	w339
<g/>
=
carolina	w341
von	w342
5	w343
<g/>
.
Julii	w345
hatten	w346
die	w347
Jndianer	w348
das	w349
Fort	w350
London	w351
noch	w352
immer	w353
eingeschlossen	w354
<g/>
,
und	w356
sind	w357
<g/>
,
seit=dem	w359
<g/>
=
ihnen	w361
der	w362
Obriste	w363
Montgomery	w364
4	w365
<g/>
.
Städte	w367
verbrannt	w368
<g/>
,
auf	w370
neue	w371
Rache	w372
