<doc id="edoc_wd_1775-07-01" attrs="word" year="1775" month="07" day="01" corpus="1">
<head id="hl4">
Korinth	w40
den	w41
25	w42
<g/>
.
Jänner	w44
<g/>
.
</head>
<p id="p7">
Wir	w46
genießen	w47
noch	w48
nicht	w49
die	w50
Früchte	w51
des	w52
zwi=schen	w53
<g/>
=
Rußland	w55
<g/>
,
und	w57
der	w58
Pforte	w59
geschlosse=nen	w60
<g/>
=
Friedens	w62
<g/>
.
Die	w64
seither	w65
in	w66
großer	w67
An=zahl	w68
<g/>
=
auf	w70
dem	w71
Meere	w72
herumschweifenden	w73
griechischen	w74
Seeräuber	w75
machen	w76
nicht	w77
nur	w78
die	w79
Schiffarth	w80
unsicher	w81
<g/>
,
sondern	w83
sie	w84
er=frechen	w85
<g/>
=
sich	w87
sogar	w88
öfters	w89
zu	w90
landen	w91
<g/>
,
und	w93
an	w94
den	w95
armen	w96
hiesigen	w97
Einwohnern	w98
die	w99
abscheulichsten	w100
Grausamkeiten	w101
auszuüben	w102
<g/>
.
Wenn	w104
der	w105
neue	w106
Baßa	w107
<g/>
,
den	w109
wir	w110
von	w111
Kon=stantinopel	w112
<g/>
=
täglich	w114
erwarten	w115
<g/>
,
diesem	w117
Un=fuge	w118
<g/>
=
nicht	w120
zu	w121
steuren	w122
weiß	w123
<g/>
,
so	w125
wird	w126
nicht	w127
nur	w128
auf	w129
dem	w130
platten	w131
Lande	w132
Schrecken	w133
und	w134
Elend	w135
allgemein	w136
<g/>
,
sondern	w138
auch	w139
in	w140
den	w141
</p>
<p id="p8">
Städten	w142
die	w143
Handlung	w144
gänzlich	w145
zernicht	w146
werden	w147
<g/>
.
</p>
<head id="hl5">
Larnaca	w149
den	w150
7	w151
<g/>
.
März	w153
<g/>
.
</head>
<p id="p9">
Der	w155
verschnittene	w156
Mertican	w157
Aga	w158
<g/>
,
ge=wester	w160
<g/>
=
Oberaufseher	w162
des	w163
Serrails	w164
zu	w165
Kon=stantinopel	w166
<g/>
=
ist	w168
hier	w169
angekommen	w170
<g/>
,
und	w172
ge=het	w173
<g/>
=
weiter	w175
nach	w176
Kairo	w177
<g/>
,
seinen	w179
Verwei=sungsort	w180
<g/>
=
<g/>
.
Alle	w183
Vornehme	w184
des	w185
Landes	w186
haben	w187
ihm	w188
bereits	w189
die	w190
Aufwartung	w191
ge=macht	w192
<g/>
=
<g/>
,
und	w195
die	w196
Konsuln	w197
der	w198
christlichen	w199
Nationen	w200
ihn	w201
durch	w202
ihre	w203
Dollmetscher	w204
be=willkommen	w205
<g/>
=
lassen	w207
<g/>
.
Er	w209
erwartet	w210
die	w211
An=kunft	w212
<g/>
=
unsers	w214
neuen	w215
Statthalters	w216
<g/>
,
Aly	w218
Aga	w219
<g/>
,
seines	w221
Freundes	w222
<g/>
,
um	w224
einige	w225
Zeit	w226
beysammen	w227
in	w228
Vergnügen	w229
zuzubringen	w230
<g/>
.
Wir	w232
haben	w233
Nachricht	w234
<g/>
,
daß	w236
Mehemet	w237
Abon	w238
Daab	w239
<g/>
,
Bey	w241
von	w242
Aegypten	w243
einen	w244
Offizier	w245
nach	w246
der	w247
Jnsul	w248
Cypern	w249
abgesandt	w250
habe	w251
<g/>
,
um	w253
allda	w254
Rekruten	w255
für	w256
das	w257
Kriegsheer	w258
<g/>
,
</p>
<p id="p10">
so	w260
er	w261
gegen	w262
den	w263
Cheik	w264
Daher	w265
<g/>
,
Kommen=danten	w267
<g/>
=
von	w269
Akri	w270
anführen	w271
will	w272
<g/>
,
zu	w274
wer=ben	w275
<g/>
=
<g/>
,
daß	w278
aber	w279
<g/>
,
ungeachtet	w281
des	w282
großen	w283
Werbegeldes	w284
<g/>
,
niemand	w286
unter	w287
seine	w288
Fah=nen	w289
<g/>
=
sich	w291
begeben	w292
wolle	w293
<g/>
.
Uebrigens	w295
schiene	w296
es	w297
gar	w298
nicht	w299
<g/>
,
als	w301
ob	w302
Cheik	w303
Daher	w304
über	w305
die	w306
Zurüstung	w307
des	w308
Mehemet	w309
Bey	w310
in	w311
Verlegen=heit	w312
<g/>
=
gerathen	w314
sey	w315
<g/>
.
</p>
<head id="hl6">
Sassari	w317
den	w318
10	w319
<g/>
.
Brachm	w321
<g/>
.
</head>
<p id="p11">
Der	w323
Maltheser	w324
Ritter	w325
<g/>
,
und	w327
Kapitain	w328
vom	w329
Regimente	w330
Aosta	w331
<g/>
,
Marches	w333
Mancin=forte	w334
<g/>
=
ist	w336
zum	w337
ersten	w338
Stallmeister	w339
der	w340
bey=den	w341
<g/>
=
jüngeren	w343
königl	w344
<g/>
.
sardinischen	w346
Prinzen	w347
ernannt	w348
worden	w349
<g/>
.
</p>
<p id="p12">
Heute	w351
frühe	w352
ward	w353
Hr	w354
<g/>
.
Santoni	w356
di	w357
Nu=loi	w358
<g/>
=
<g/>
,
Doktor	w361
der	w362
Arzneykunst	w363
<g/>
,
öffentlich	w365
enthaupt	w366
<g/>
,
weil	w368
er	w369
vor	w370
einigen	w371
Monaten	w372
einen	w373
sicheren	w374
Padoni	w375
<g/>
,
der	w377
einige	w378
Schimpf=worte	w379
<g/>
=
gegen	w381
ihn	w382
ausgestossen	w383
hatte	w384
<g/>
,
auf	w386
dem	w387
großen	w388
Platze	w389
zu	w390
Cagliari	w391
umgebracht	w392
<g/>
.
Unser	w394
Statthalter	w395
<g/>
,
Herr	w397
Marches	w398
Alli	w399
di	w400
Maccarani	w401
zeigt	w402
in	w403
allen	w404
Gelegenhei=ten	w405
<g/>
=
einen	w407
sehr	w408
löblichen	w409
Eifer	w410
für	w411
die	w412
Hand=habung	w413
<g/>
=
der	w415
Gerechtigkeit	w416
<g/>
,
läßt	w418
aber	w419
auch	w420
dabey	w421
nichts	w422
aus	w423
den	w424
Augen	w425
<g/>
,
was	w427
zur	w428
Beförderung	w429
des	w430
Ackerbaues	w431
<g/>
,
und	w433
Hand=lung	w434
<g/>
=
immer	w436
gereichen	w437
mag	w438
<g/>
.
</p>
<head id="hl7">
Auszug	w440
eines	w441
Briefes	w442
von	w443
Abo	w444
den	w445
30	w446
<g/>
.
May	w448
<g/>
.
</head>
<p id="hl8">
Gestern	w450
Vormittags	w451
beehrte	w452
der	w453
König	w454
das	w455
hiesige	w456
Hofgericht	w457
mit	w458
seiner	w459
hohen	w460
Gegenwart	w461
<g/>
,
und	w463
erlaubte	w464
demselben	w465
<g/>
,
den	w467
Aufsatz	w468
zu	w469
einer	w470
ledigen	w471
Assessoratstelle	w472
zu	w473
machen	w474
<g/>
.
Der	w476
Advokat	w477
Fiskal	w478
Hising	w479
<g/>
,
der	w481
Sekretair	w482
Walheim	w483
und	w484
der	w485
Bürgermei=ster	w486
<g/>
=
in	w488
Louisa	w489
<g/>
,
Repelius	w491
<g/>
,
wurden	w493
hiezu	w494
in	w495
Vorschlag	w496
gebracht	w497
<g/>
.
Der	w499
Advokat	w500
Fis=kal	w501
<g/>
=
Hising	w503
wurde	w504
von	w505
Sr	w506
<g/>
.
Majestät	w508
aus	w509
diesen	w510
zum	w511
Assessor	w512
ernannt	w513
<g/>
.
</p>
<p id="p13">
Nachmittags	w515
geruhete	w516
der	w517
König	w518
<g/>
,
in	w520
dem	w521
hiesigen	w522
akademischen	w523
Saale	w524
eine	w525
schöne	w526
Rede	w527
<g/>
,
voll	w529
interressanter	w530
Nachrichten	w531
von	w532
dieser	w533
Provinz	w534
<g/>
,
welche	w536
der	w537
Bischoff	w538
<g/>
,
Dokt	w540
<g/>
.
Menander	w542
<g/>
,
hielt	w544
<g/>
,
mitanzuhören	w546
<g/>
.
Hier=auf	w548
<g/>
=
folgte	w550
ein	w551
Disputationshandlung	w552
von	w553
dem	w554
Professor	w555
Gaad	w556
und	w557
Herrn	w558
Alexan=der	w559
<g/>
=
<g/>
:
von	w562
der	w563
Liebe	w564
zum	w565
Vaterlande	w566
und	w567
der'	w568
Ausübung	w569
derselben	w570
<g/>
.
Der	w572
königliche	w573
Sekretair	w574
Schröderheim	w575
und	w576
der	w577
Auditeur	w578
</p>
<p id="p14">
Hanell	w579
opponirten	w580
als	w581
außerordentliche	w582
Opponenten	w583
<g/>
.
</p>
<p id="p15">
Morgen	w585
erfolgt	w586
die	w587
königl	w588
<g/>
.
Abreise	w590
von	w591
hier	w592
<g/>
.
</p>
<p id="p16">
Folgenden	w594
Zug	w595
von	w596
des	w597
Königs	w598
Güte	w599
auch	w600
gegen	w601
den	w602
geringsten	w603
Unterthan	w604
kann	w605
man	w606
nicht	w607
unbemerkt	w608
lassen	w609
<g/>
:
Als	w611
Se	w612
<g/>
.
Majestät	w614
gestern	w615
zu	w616
Pferde	w617
steigen	w618
wollten	w619
<g/>
,
nahete	w621
sich	w622
eine	w623
alte	w624
Frau	w625
<g/>
,
und	w627
übergab	w628
Jhnen	w629
<g/>
,
anstatt	w631
einer	w632
Supplik	w633
<g/>
,
einen	w635
nach	w636
Stockholm	w637
addreßirten	w638
versiegelten	w639
Brief	w640
<g/>
,
mit	w642
unterthänigster	w643
Bitte	w644
<g/>
,
selbigen	w646
sicher	w647
befördern	w648
zu	w649
lassen	w650
<g/>
,
weil	w652
ihr	w653
sehr	w654
darin	w655
gelegen	w656
wäre	w657
<g/>
.
Ob	w659
nun	w660
gleich	w661
diese	w662
Bitte	w663
sehr	w664
ungewöhnlich	w665
war	w666
<g/>
,
so	w668
nahm	w669
doch	w670
der	w671
König	w672
den	w673
Brief	w674
auf	w675
die	w676
gnädigste	w677
Weise	w678
an	w679
<g/>
,
und	w681
versprach	w682
der	w683
Frau	w684
<g/>
,
die	w686
Beförderung	w687
desselben	w688
bestens	w689
zu	w690
besorgen	w691
<g/>
.
</p>
<head id="hl9">
Neapel	w693
den	w694
13	w695
Brachm	w696
<g/>
.
</head>
<p id="p17">
Am	w698
9	w699
<g/>
.
Nachmittags	w701
trafen	w702
Se	w703
<g/>
.
königl	w705
<g/>
.
Hoheit	w707
der	w708
Erzherzog	w709
Maximilian	w710
<g/>
,
in	w712
Begleitung	w713
des	w714
hiesigen	w715
k	w716
<g/>
.
k	w718
<g/>
.
Ministers	w720
<g/>
,
Herrn	w722
Grafen	w723
von	w724
Wildzeck	w725
<g/>
,
des	w727
Mon=signor	w728
<g/>
=
Herzan	w730
<g/>
,
und	w732
des	w733
Grafens	w734
von	w735
Ugarte	w736
hier	w737
ein	w738
<g/>
,
und	w740
geruheten	w741
in	w742
dem	w743
Pallaste	w744
des	w745
besagten	w746
Herrn	w747
Ministers	w748
dero	w749
Wohnung	w750
zu	w751
nehmen	w752
<g/>
.
Jhre	w754
Maje=stät	w755
<g/>
=
die	w757
Königinn	w758
waren	w759
bis	w760
Secondiglia	w761
dero	w762
durchlauchtigsten	w763
Herrn	w764
Bruder	w765
ent=gegen	w766
<g/>
=
gefahren	w768
<g/>
,
und	w770
hatten	w771
denselben	w772
in	w773
dero	w774
eigenem	w775
Wagen	w776
nach	w777
dem	w778
kön	w779
