<doc id="edoc_wd_1727-11-12" attrs="word" year="1727" month="11" day="12" corpus="1">
<head id="hl1">
Peking	w54
in	w55
China	w56
1	w57
<g/>
.
Sept	w59
<g/>
.
1726	w61
<g/>
.
</head>
<p id="p4">
DJe	w63
Patres	w64
Missionarien	w65
in	w66
diesem	w67
Reiche	w68
seynd	w69
<g/>
/
derer	w71
ihnen	w72
aufgestossenen	w73
Ver=folgungen	w74
<g/>
=
und	w76
Ungelegenheiten	w77
ohn=geachtet	w78
<g/>
=
<g/>
/
in	w81
ihrem	w82
Amte	w83
bishero	w84
nicht	w85
ohne	w86
Frucht	w87
gewesen	w88
<g/>
.
Die	w90
Anzahl	w91
derer	w92
Personen	w93
<g/>
/
so	w95
dieses	w96
Jahr	w97
<g/>
/
in	w99
dem	w100
Jesuiter	w101
<g/>
=
Collegio	w103
com- municiret	w104
<g/>
-
haben	w106
<g/>
/
belauffet	w108
sich	w109
auf	w110
3360	w111
<g/>
/
derer	w113
bis	w114
Ausgang	w115
des	w116
August	w117
<g/>
=
Monats	w119
getauften	w120
Kinderen	w121
seynd	w122
2712	w123
<g/>
/
und	w125
derer	w126
bejahrten	w127
Per=sonen	w128
<g/>
=
61	w130
<g/>
/
so	w132
wol	w133
Männer	w134
als	w135
Frauen	w136
<g/>
/
die=jenigen	w138
<g/>
=
ungerechnet	w140
<g/>
/
welche	w142
in	w143
anderen	w144
Kir=chen	w145
<g/>
=
allhier	w147
getauffet	w148
worden	w149
<g/>
.
Jn	w151
der	w152
Kirche	w153
zu	w154
Xunchiang	w155
haben	w156
4270	w157
<g/>
.
Frauen	w159
gebeichtet	w160
<g/>
/
ohne	w162
die	w163
Männer	w164
<g/>
/
780	w166
<g/>
.
seynd	w168
getauffet	w169
<g/>
/
und	w171
an	w172
141	w173
Personen	w174
ist	w175
die	w176
Firmung	w177
geschehen	w178
<g/>
.
Jn	w180
der	w181
Provintz	w182
Chechiang	w183
<g/>
/
auf	w185
denen	w186
Grentzen	w187
von	w188
Nanking	w189
<g/>
/
haben	w191
5400	w192
<g/>
.
Personen	w194
gebeichtet	w195
und	w196
communiciret	w197
<g/>
/
und	w199
768	w200
<g/>
.
seynd	w202
getauffet	w203
worden	w204
<g/>
;
Unter	w206
diesen	w207
letzteren	w208
ware	w209
ein	w210
Kind	w211
von	w212
zwölf	w213
Jahren	w214
<g/>
/
welches	w216
<g/>
/
ohnangesehen	w218
der	w219
Tiranney	w220
<g/>
/
so	w222
ihme	w223
sein	w224
Vatter	w225
<g/>
/
um	w227
daß	w228
es	w229
ein	w230
Christ	w231
werden	w232
wolte	w233
<g/>
/
anthatte	w235
<g/>
/
dennoch	w237
bey	w238
seinem	w239
Entschluß	w240
dergestalten	w241
verharrete	w242
<g/>
/
daß	w244
auch	w245
endlich	w246
der	w247
ergrimmete	w248
Heidische	w249
Vatter	w250
selbst	w251
durch	w252
die	w253
über	w254
<g/>
=
führenden	w256
Reden	w257
seines	w258
Sohns	w259
bewogen	w260
ward	w261
<g/>
/
den	w263
Christlichen	w264
Glau=ben	w265
<g/>
=
anzunehmen	w267
<g/>
/
und	w269
sich	w270
<g/>
/
nebst	w272
seinem	w273
Kinde	w274
tauffen	w275
zu	w276
lassen	w277
<g/>
.
</p>
<p id="p5">
Nachdeme	w279
der	w280
Pater	w281
Joan	w282
Maurao	w283
aus	w284
sei=nem	w285
<g/>
=
Exilio	w287
<g/>
,
mit	w289
9	w290
<g/>
.
Ketten	w292
gebunden	w293
<g/>
/
nach	w295
Hofe	w296
gebracht	w297
worden	w298
<g/>
/
so	w300
wurde	w301
derselbe	w302
allda	w303
vor	w304
ei=nem	w305
<g/>
=
Gericht	w307
examiniret	w308
<g/>
/
zweymal	w310
auf	w311
die	w312
Pein	w313
<g/>
=
Bank	w315
geleget	w316
<g/>
/
und	w318
unschuldig	w319
zum	w320
Tode	w321
ver=urtheilet	w322
<g/>
=
<g/>
;
wiewol	w325
nun	w326
dieses	w327
Urtheil	w328
von	w329
einem	w330
darzu	w331
verordneten	w332
Richter	w333
ausgesprochen	w334
wur=de	w335
<g/>
=
<g/>
/
so	w338
hat	w339
der	w340
König	w341
solches	w342
doch	w343
nicht	w344
confir- miret	w345
<g/>
-
<g/>
/
sondern	w348
befohlen	w349
<g/>
/
daß	w351
gedachter	w352
Pater	w353
nach	w354
dem	w355
Ort	w356
<g/>
/
von	w358
wannen	w359
er	w360
gekommen	w361
<g/>
/
zu zuruk	w363
<g/>
=
</p>
<p id="p6">
ruk	w365
gesandt	w366
<g/>
/
und	w368
ihm	w369
8	w370
<g/>
.
von	w372
denen	w373
9	w374
<g/>
.
Ketten	w376
abgenommen	w377
werden	w378
solten	w379
<g/>
.
Es	w381
ware	w382
aber	w383
dieser	w384
gnädige	w385
Befehl	w386
kaum	w387
ergangen	w388
<g/>
/
so	w390
star=be	w391
<g/>
=
der	w393
gute	w394
Pater	w395
als	w396
ein	w397
Martyrer	w398
<g/>
.
</p>
<head id="hl2">
Constantinopel	w400
28	w401
<g/>
.
Augusti	w403
<g/>
.
</head>
<p id="p7">
Es	w405
seynd	w406
zwar	w407
seit	w408
einigen	w409
Tagen	w410
ver=schiedene	w411
<g/>
=
Divans	w413
gehalten	w414
<g/>
/
von	w416
dem	w417
darinn	w418
verhandelten	w419
aber	w420
nichts	w421
bekannt	w422
gemachet	w423
worden	w424
<g/>
;
dahero	w426
dann	w427
das	w428
Volk	w429
murret	w430
<g/>
/
und	w432
zum	w433
Aufstande	w434
geneiget	w435
ist	w436
<g/>
.
Ein	w438
aus	w439
Persien	w440
angekommener	w441
Expresser	w442
hat	w443
die	w444
Zei=tung	w445
<g/>
=
mitgebracht	w447
<g/>
/
daß	w449
die	w450
Ausreissung	w451
un=ter	w452
<g/>
=
denen	w454
Türkischen	w455
Truppen	w456
sehr	w457
groß	w458
wäre	w459
<g/>
/
und	w461
dieselbe	w462
sich	w463
Hauffen	w464
<g/>
=
weise	w466
nach	w467
des	w468
Esrefs	w469
Lager	w470
begäben	w471
<g/>
.
Man	w473
sagt	w474
<g/>
:
daß	w476
der	w477
Groß	w478
<g/>
=
Sultan	w480
<g/>
/
im	w482
Fall	w483
der	w484
Esref	w485
die	w486
ihme	w487
<g/>
/
durch	w489
den	w490
Muffti	w491
<g/>
,
thuende	w493
letztere	w494
Vor=schläge	w495
<g/>
=
nicht	w497
annehmen	w498
würde	w499
<g/>
/
wol	w501
selbst	w502
