<doc id="edoc_wd_1760-01-02" attrs="word" year="1760" month="01" day="02" corpus="1">
<head id="hl1">
Erfurt	w39
19	w40
<g/>
.
Dec	w42
<g/>
.
1259	w44
<g/>
.
</head>
<p id="p2">
VOrgestern	w46
hat	w47
man	w48
erfahren	w49
<g/>
,
daß	w51
Hanövrische	w52
Hussaren	w53
zu	w54
Wieddero=da	w55
<g/>
=
und	w57
Gispersleben	w58
angekommen	w59
sind	w60
<g/>
,
und	w62
bald	w63
darauf	w64
<g/>
,
daß	w66
ein	w67
ganzes	w68
Corps	w69
von	w70
der	w71
alliirten	w72
Armee	w73
im	w74
Anmarsch	w75
sey	w76
<g/>
.
Man	w78
ist	w79
durch	w80
diese	w81
Nachricht	w82
allhier	w83
sehr	w84
allarmirt	w85
worden	w86
<g/>
,
und	w88
hat	w89
sich	w90
die	w91
ganze	w92
Nacht	w93
über	w94
be=schäftiget	w95
<g/>
=
<g/>
,
Victualien	w98
in	w99
die	w100
Festung	w101
zu	w102
werfen	w103
<g/>
.
Die	w105
Maynzer	w106
<g/>
=
trupen	w108
<g/>
,
welche	w110
in	w111
denen	w112
Casernen	w113
waren	w114
<g/>
,
sind	w116
in	w117
gröster	w118
Eil	w119
auf	w120
den	w121
Petersberg	w122
geflüchtet	w123
<g/>
,
auch	w125
hat	w126
man	w127
die	w128
Soldaten	w129
von	w130
denen	w131
Thören	w132
abge=hen	w133
<g/>
=
lassen	w135
<g/>
,
und	w137
denen	w138
Bürgern	w139
die	w140
Wacht	w141
übergeben	w142
<g/>
.
Gestern	w144
früh	w145
um	w146
10	w147
<g/>
.
Uhr	w149
sind	w150
einige	w151
20	w152
<g/>
.
Hussaren	w154
von	w155
Ruesch	w156
erschienen	w157
<g/>
,
zu	w159
gleicher	w160
Zeilt	w161
hat	w162
man	w163
4	w164
<g/>
.
Canonen	w166
<g/>
=
schüsse	w168
von	w169
dem	w170
Petersberg	w171
gethan	w172
<g/>
,
um	w174
damit	w175
anzudeuten	w176
<g/>
,
daß	w178
alles	w179
<g/>
,
was	w181
von	w182
der	w183
Fe=stung	w184
<g/>
=
abhange	w186
<g/>
,
sich	w188
dahin	w189
begeben	w190
soll	w191
<g/>
.
</p>
<p id="p3">
Unterdessen	w193
sind	w194
besagte	w195
Hussaren	w196
vor	w197
dem	w198
St	w199
<g/>
.
Andreas	w201
<g/>
=
thor	w203
angelanget	w204
<g/>
;
und	w206
nach	w207
einigen	w208
Wort	w209
<g/>
=
wechsel	w211
hat	w212
man	w213
sie	w214
eingelas=sen	w215
<g/>
=
<g/>
.
Der	w218
Officier	w219
<g/>
,
welcher	w221
sie	w222
comman=dirte	w223
<g/>
=
<g/>
,
forderte	w226
36000	w227
<g/>
.
Rationes	w229
<g/>
,
und	w231
für	w232
12000	w233
<g/>
.
Mann	w235
Passage	w236
<g/>
.
Bald	w238
darauf	w239
sind	w240
2	w241
<g/>
.
Schwadronen	w243
schwarze	w244
Hussaren	w245
in	w246
die	w247
Stadt	w248
eingerucket	w249
<g/>
,
und	w251
nach	w252
einer	w253
Stund	w254
ein	w255
Jnfanterie	w256
<g/>
=
und	w258
ein	w259
Cavallerie	w260
<g/>
=
regi=ment	w262
<g/>
=
nachgefolget	w264
<g/>
.
Man	w266
hat	w267
ihnen	w268
die	w269
Quartiere	w270
angewiesen	w271
und	w272
heute	w273
haben	w274
sie	w275
ihren	w276
Marsch	w277
nach	w278
Weimar	w279
fortgesetzet	w280
<g/>
.
Es	w282
folgen	w283
ihnen	w284
immer	w285
mehr	w286
nach	w287
<g/>
,
und	w289
man	w290
sagt	w291
<g/>
,
daß	w293
wir	w294
auch	w295
den	w296
Erb	w297
